pl_name,ra,dec,sy_dist,sy_plx
Kepler-1837 b,288.2076012,45.6834463,1229.1800000,0.7851820
Kepler-1838 b,298.9917165,40.1422600,451.2420000,2.1875500
Kepler-1839 b,294.2244432,50.0755761,1136.6000000,0.8511390
Kepler-184 b,291.9518784,43.0746172,610.3260000,1.6097000
Kepler-184 c,291.9518784,43.0746172,610.3260000,1.6097000
Kepler-184 d,291.9518784,43.0746172,610.3260000,1.6097000
Kepler-1840 b,298.5948803,41.4359643,513.1070000,1.9204900
Kepler-1841 b,287.7069031,40.6852161,631.7000000,1.5543000
Kepler-1842 b,286.2516039,42.3784353,923.5510000,1.0541900
Kepler-1843 b,292.8852302,41.2791690,784.6250000,1.2460700
Kepler-1844 b,292.6903973,37.9345682,1804.3600000,0.5275460
Kepler-1845 b,292.9016226,38.2970320,710.7240000,1.3792800
Kepler-1846 b,294.3909489,44.7629523,374.6150000,2.6405900
Kepler-1847 b,296.6014013,44.3252289,1693.8600000,0.5639970
Kepler-1848 b,299.3814921,45.5920846,309.6960000,3.2001100
Kepler-1849 b,285.2919300,41.2557275,631.8840000,1.5542300
Kepler-185 b,282.4681674,43.8899464,466.7350000,2.1138600
Kepler-185 c,282.4681674,43.8899464,466.7350000,2.1138600
Kepler-1850 b,287.1428295,43.6161177,250.1990000,3.9680000
Kepler-1851 b,285.6737597,45.6398375,1589.8100000,0.6001370
Kepler-1852 b,288.0297157,40.3441934,772.4810000,1.2661100
Kepler-1853 b,284.7478834,46.3735415,562.3480000,1.7497900
Kepler-1856 b,295.9091695,51.3478777,848.7600000,1.1502000
Kepler-1857 b,296.4557129,39.5985370,853.2750000,1.1437000
Kepler-1858 b,292.3074315,46.6265790,833.0550000,1.1725700
Kepler-1859 b,293.9886751,46.7179996,1331.2500000,0.7227800
Kepler-1859 c,293.9886751,46.7179996,1331.2500000,0.7227800
Kepler-186 b,298.6527360,43.9549884,177.5940000,5.6020300
Kepler-186 c,298.6527360,43.9549884,177.5940000,5.6020300
Kepler-186 d,298.6527360,43.9549884,177.5940000,5.6020300
Kepler-186 e,298.6527360,43.9549884,177.5940000,5.6020300
Kepler-186 f,298.6527360,43.9549884,177.5940000,5.6020300
Kepler-1860 b,294.3508497,50.0809627,438.7030000,2.2505700
Kepler-1861 b,295.8465148,49.9361586,829.9850000,1.1761600
Kepler-1862 b,296.7533555,49.3780726,1232.1900000,0.7836210
Kepler-1863 b,282.2397185,43.2440854,865.5460000,1.1265500
Kepler-1864 b,289.6867653,41.5889178,298.8940000,3.3168800
Kepler-1865 b,293.9412380,41.5904136,922.2550000,1.0565400
Kepler-1866 b,286.2246453,44.6544869,976.7370000,0.9951040
Kepler-1867 b,294.9971007,43.4358698,680.5830000,1.4405700
Kepler-1868 b,293.2983733,43.5558025,274.1800000,3.6183200
Kepler-1869 b,292.6149958,42.7643438,113.0250000,8.8187500
Kepler-1869 c,292.6149958,42.7643438,113.0250000,8.8187500
Kepler-187 b,299.7964955,44.0892448,1143.0000000,0.8468400
Kepler-187 c,299.7964955,44.0892448,1143.0000000,0.8468400
Kepler-1870 b,293.9335076,40.5907040,407.2160000,2.4268900
Kepler-1871 b,292.4275044,38.4728824,854.6230000,1.1417500
Kepler-1872 b,281.0491988,43.3225996,840.1820000,1.1620300
Kepler-1873 b,294.5965570,46.0483705,820.9570000,1.1906900
Kepler-1875 b,296.7727406,50.1883667,1660.4500000,0.5750410
Kepler-1876 b,299.1604859,41.1437964,259.9350000,3.8184500
Kepler-1877 b,294.8669240,46.7904816,285.3120000,3.4761900
Kepler-1878 b,300.7324154,44.1070231,1494.3000000,0.6412770
Kepler-1879 b,289.3644209,41.5332589,627.1710000,1.5658800
Kepler-188 b,281.2797173,44.3154743,968.5440000,1.0039200
Kepler-188 c,281.2797173,44.3154743,968.5440000,1.0039200
Kepler-1880 b,287.8264561,40.6965988,611.0410000,1.6083700
Kepler-1881 b,293.6393065,44.9825447,1057.2100000,0.9184110
Kepler-1882 b,290.6640856,43.4997866,443.3710000,2.2267600
Kepler-1883 b,291.9225570,42.0025220,1377.6100000,0.6982860
Kepler-1884 b,296.7463986,43.0454207,1443.0900000,0.6650100
Kepler-1885 b,288.7507112,47.4909206,818.4820000,1.1931700
Kepler-1886 b,296.2645118,39.4059745,1059.5100000,0.9166920
Kepler-1887 b,288.9555263,44.7057070,1366.1800000,0.7038690
Kepler-1888 b,289.3945523,41.7822597,402.9470000,2.4532000
Kepler-1889 b,297.1992577,41.2264404,1395.1300000,0.6898730
Kepler-189 b,287.5646296,44.3050662,591.5340000,1.6618300
Kepler-189 c,287.5646296,44.3050662,591.5340000,1.6618300
Kepler-1890 b,292.5778203,40.6679032,529.5960000,1.8597100
Kepler-1891 b,290.0438524,44.3705375,596.2400000,1.6484100
Kepler-1892 b,299.0810070,42.0180957,851.5950000,1.1468300
Kepler-1893 b,298.4012866,44.8381709,1050.7200000,0.9235660
Kepler-1894 b,295.5864604,49.6668523,935.1910000,1.0410800
Kepler-1894 c,295.5864604,49.6668523,935.1910000,1.0410800
Kepler-1895 b,291.6756005,48.7625419,984.1870000,0.9878280
Kepler-1896 b,289.6785786,40.2496475,1732.9100000,0.5485790
Kepler-1897 b,294.2901043,39.1268710,983.1740000,0.9901020
Kepler-1898 b,287.2058009,38.4981903,360.9210000,2.7418100
Kepler-1899 b,292.0333777,37.9744551,711.5090000,1.3779000
Kepler-19 b,290.4209694,37.8516556,218.5620000,4.5465100
Kepler-19 c,290.4209694,37.8516556,218.5620000,4.5465100
Kepler-19 d,290.4209694,37.8516556,218.5620000,4.5465100
Kepler-190 b,288.5839761,44.7337701,433.3870000,2.2785400
Kepler-190 c,288.5839761,44.7337701,433.3870000,2.2785400
Kepler-1900 b,291.8863206,44.4790319,1540.4300000,0.6210430
Kepler-1901 b,291.1643587,45.3183061,1028.3700000,0.9439400
